Ticker Symbol,Sector,Date,Price,Open,High,Low,Volume,Change
AP,Industrial,5/28/2013,36.8,37,37,36.1,959.00K,-0.3%
AP,Industrial,5/29/2013,36.5,36.9,36.9,36.5,4.01M,-0.8%
AP,Industrial,5/30/2013,35.2,35.8,35.95,35,3.35M,-3.6%
AP,Industrial,5/31/2013,35.75,35,36,34.5,7.53M,1.6%
AP,Industrial,6/3/2013,34.5,35.7,35.7,34.2,7.21M,-3.5%
AP,Industrial,6/4/2013,35,35,35.5,34.55,3.40M,1.5%
AP,Industrial,6/5/2013,35.5,35.75,35.75,35,2.87M,1.4%
AP,Industrial,6/6/2013,35.35,35.5,35.7,34.8,3.44M,-0.4%
AP,Industrial,6/7/2013,35.3,36,36,34.9,1.95M,-0.1%
AP,Industrial,6/10/2013,35.25,35.65,35.65,35,3.23M,-0.1%
AP,Industrial,6/11/2013,34,35.6,35.6,34,2.71M,-3.6%
AP,Industrial,6/13/2013,33,34.4,34.4,32.5,6.17M,-2.9%
AP,Industrial,6/14/2013,34,33,35,33,6.87M,3.0%
AP,Industrial,6/17/2013,34.7,34,34.7,33.75,2.86M,2.1%
AP,Industrial,6/18/2013,34.55,34.6,34.6,34.4,3.42M,-0.4%
AP,Industrial,6/19/2013,34,34.55,34.75,34,2.56M,-1.6%
AP,Industrial,6/20/2013,34.7,34,34.75,33.2,4.77M,2.1%
AP,Industrial,6/21/2013,31.25,33.95,34.65,31,11.77M,-9.9%
AP,Industrial,6/24/2013,31.25,31.9,32.5,30.8,12.79M,0.0%
AP,Industrial,6/25/2013,31,31.5,32.1,30.5,6.72M,-0.8%
AP,Industrial,6/26/2013,33.05,31.5,33.4,31.5,4.56M,6.6%
AP,Industrial,6/27/2013,34.5,33.5,35,33.5,10.44M,4.4%
AP,Industrial,6/28/2013,34.8,34.6,35,34.55,6.81M,0.9%
AP,Industrial,7/1/2013,34.95,34.8,35.1,34.8,1.68M,0.4%
AP,Industrial,7/2/2013,34.3,34.3,34.8,34.3,943.20K,-1.9%
AP,Industrial,7/3/2013,34.35,34.3,34.35,33.5,1.50M,0.2%
AP,Industrial,7/4/2013,34.2,34.35,34.75,33.8,596.40K,-0.4%
AP,Industrial,7/5/2013,34.35,34.8,34.8,34.1,740.90K,0.4%
AP,Industrial,7/8/2013,32.4,34.25,34.25,32.4,1.31M,-5.7%
AP,Industrial,7/9/2013,32.9,32.55,33.3,32.5,1.01M,1.5%
AP,Industrial,7/10/2013,33.8,33.1,33.8,32.4,1.56M,2.7%
AP,Industrial,7/11/2013,34,33.8,34,32.75,1.76M,0.6%
AP,Industrial,7/12/2013,34.8,34.4,34.8,33.75,1.57M,2.4%
AP,Industrial,7/15/2013,34.8,34.7,35.1,33.95,1.34M,0.0%
AP,Industrial,7/16/2013,34.45,35,35,33.65,1.81M,-1.0%
AP,Industrial,7/17/2013,33.6,34.45,34.45,33,1.60M,-2.5%
AP,Industrial,7/18/2013,33.1,33.6,34.1,33.1,1.48M,-1.5%
AP,Industrial,7/19/2013,33.9,33.65,33.95,33.2,1.09M,2.4%
